NewID,TotalYearsGiven,TotalDonations,FirstYear,LastYear,MultiyearGiver,DecemberGivings,YearsSinceLastGift,Most_recent_year_given,Frequency_score,AverageDonationPerYear,Gender,Age,State,AgeGroup
100344257,19,828,1998,2016,1,0.176470588,0,2016,0.877546927,48.70588235,Female,48,WI,40-49
100037656,5,825,1996,2000,1,0.8,16,2000,1.88443902,165,Unknown,53,SC,50-59
100657221,8,823,2009,2016,1,0.2,0,2016,0.282339778,164.6,Unknown,74,FL,70-79
100853456,9,820,1999,2007,1,0.333333333,9,2007,0.001269736,273.3333333,Unknown,73,NC,70-79
100018076,24,820,1993,2016,1,0,0,2016,-0.34090249,35.65217391,Unknown,71,KS,70-79
101252814,23,810,1993,2015,1,0.111111111,1,2015,0.844479863,90,Unknown,26,CT,20-29
100489794,18,804,1994,2011,1,0,5,2011,1.125549905,201,Male,66,OH,60-69
101495584,8,803,2008,2015,1,0.5,1,2015,2.864670793,100.375,Male,56,OH,50-59
100234912,10,800,2004,2013,1,0,3,2013,-0.392228324,160,Male,75,OH,70-79
101464397,8,790,2009,2016,1,0.333333333,0,2016,0.914747374,197.5,Male,104,MD,100+
100021543,17,785,1993,2009,1,0.3,7,2009,-0.139265286,78.5,Unknown,71,WI,70-79
100082258,23,785,1993,2015,1,0.5,1,2015,-0.10413153,65.41666667,Male,64,NJ,60-69
100942011,3,780,2012,2014,1,0.666666667,2,2014,2.671435139,260,Unknown,75,MI,70-79
101549925,26,779.5,1989,2014,1,0.105263158,2,2014,-0.294593467,41.02631579,Unknown,72,NM,70-79
100125836,12,775,2001,2012,1,0.3,4,2012,0.788265854,77.5,Unknown,59,CA,50-59
100058895,20,775,1996,2015,1,0.222222222,1,2015,0.610254828,86.11111111,Unknown,52,IL,50-59
100300456,5,770,2009,2013,1,0.8,3,2013,2.980612186,154,Male,69,AZ,60-69
100745215,8,765,2009,2016,1,0.25,0,2016,-0.244666552,95.625,Male,67,SC,60-69
100733427,31,745,1985,2015,1,0.375,1,2015,0.018836613,93.125,Male,42,NY,40-49
100085445,19,740,1998,2016,1,0.083333333,0,2016,0.317473533,61.66666667,Unknown,60,TX,50-59
101355308,27,737,1986,2012,1,0.285714286,4,2012,0.37268372,52.64285714,Male,45,CA,40-49
101547886,33,735,1981,2013,1,0.0625,3,2013,-0.271016868,45.9375,Female,37,VA,30-39
100001070,24,730,1991,2014,1,0.294117647,2,2014,-0.114464988,42.94117647,Unknown,58,AZ,50-59
100689684,8,725,2009,2016,1,0.25,0,2016,0.018836613,90.625,Male,82,NJ,80-89
101547549,1,721,2016,2016,0,0,0,2016,12.08728156,721,Male,72,OH,70-79
101520784,9,703,1990,1998,1,0,18,1998,0.161881188,100.4285714,Unknown,63,FL,60-69
100011657,15,700,1995,2009,1,0,7,2009,-0.525736594,58.33333333,Male,79,MN,70-79
100295777,6,700,2006,2011,1,0.333333333,5,2011,0.001269736,233.3333333,Male,57,WI,50-59
